,STRAND,MALE,FEMALE
0,STEM,204,232
1,ARTS,0,0
2,HUMMS,85,122
3,ABM,60,172
4,TVL - HE 1,69,81
5,TVL - HE 2,17,78
6,TVL - ICT 1,46,17
7,TVL - ICT 2,31,26
